line_name,delta_power,label
LI_0,0.0,0
LI_1,0.0,0
LI_2,0.0,0
LI_3,0.0,0
LI_4,0.0,0
LI_5,0.0,0
LI_6,0.0,0
LI_7,0.0,0
LI_8,0.0,0
LI_9,0.0,0
LI_10,0.0,0
LI_11,0.0,0
LI_12,0.0,0
LI_13,0.0,0
LI_14,0.0,0
LI_15,0.0,0
LI_16,0.0,0
LI_17,0.0,0
LI_18,0.0,0
LI_19,0.0,0
LI_20,0.0,0
LI_21,0.0,0
LI_22,0.0,0
LI_23,0.0,0
LI_24,0.0,0
LI_25,0.0,0
LI_26,0.0,0
LI_27,0.0,0
LI_28,0.0,0
LI_29,0.0,0
LI_30,0.0,0
LI_31,0.0,0
LI_32,0.0,0
LI_33,0.0,0
TRF_0,0.0,0
TRF_1,0.0,0
TRF_2,0.0,0
TRF_3,0.0,0
TRF_4,0.0,0
TRF_5,0.0,0
TRF_6,0.0,0
TRF_7,0.0,0
TRF_8,0.0,0
TRF_9,0.0,0
TRF_10,0.0,0
TRF_11,0.0,0
LI_0,0.30352382465900973,0
LI_1,0.3066410050490731,0
LI_2,8.07942244313881,0
LI_3,9.023359765639043,0
LI_4,6.6942238106564105,0
LI_5,14.888177506594047,0
LI_6,-5.969691514007991,0
LI_7,-5.956336362280894,0
LI_8,-6.663554537842288,0
LI_9,-8.178341985846998,0
LI_10,-26.34592267424398,0
LI_11,-9.97986327920404,0
LI_12,-3.309637877799503,0
LI_13,4.525781770805622,0
LI_14,-4.5281319324419655,0
LI_15,-14.546576530908055,0
LI_16,-13.05037564521001,0
LI_17,7.935697687585957,0
LI_18,18.52930331435698,0
LI_19,-18.0943076603275,0
LI_20,18.120059151433907,0
LI_21,-1.339933079436392,0
LI_22,9.488990425664952,0
LI_23,5.943989079878975,0
LI_24,-4.130260301912102,0
LI_25,4.154007308393943,0
LI_26,4.615681797339214,0
LI_27,4.63546522392312,0
LI_28,5.977568700099027,0
LI_29,-0.5210528146041327,0
LI_30,-2.1742611942210033,0
LI_31,3.427615523771692,0
LI_32,3.425957226110995,0
LI_33,3.453740696670934,0
TRF_0,2.1075732645990684,0
TRF_1,5.684341886080802e-14,0
TRF_2,5.479690487957896,0
TRF_3,-1.5450258018365393,0
TRF_4,-1.545237986002867,0
TRF_5,-4.251814724519988,0
TRF_6,5.305874575518828,0
TRF_7,4.264482520899151,0
TRF_8,5.479690487959942,0
TRF_9,4.710035350576163,0
TRF_10,4.539940130267155,0
TRF_11,6.958072138727857,0
LI_0,-0.15303966138299074,0
LI_1,-0.15461211841511613,0
LI_2,-4.062443726158108,0
LI_3,-4.537414139552993,0
LI_4,-3.366024900789597,0
LI_5,-7.485858287989913,0
LI_6,3.0014843156519646,0
LI_7,2.994807193454392,0
LI_8,3.3504181195098965,0
LI_9,4.1119181907520215,0
LI_10,13.246106710284948,0
LI_11,5.01772166133901,0
LI_12,1.6639904202054936,0
LI_13,-2.275442913496505,0
LI_14,2.276609196668005,0
LI_15,7.313614779763043,0
LI_16,6.561248810551092,0
LI_17,-3.9899955597979897,0
LI_18,-9.316309570249018,0
LI_19,9.0981320256343,0
LI_20,-9.111648012098954,0
LI_21,0.673575941978001,0
LI_22,-4.771557754153946,0
LI_23,-2.9889829596850177,0
